	venue	innings	ball	batting_team	bowling_team	batsmen	bowlers	runs
1320	Wankhede Stadium	1	5.6	Royal Challengers Bangalore	Mumbai Indians	"PA Patel,V Kohli,AB de Villiers"	"JP Behrendorff,JJ Bumrah,SL Malinga"	45
1321	Wankhede Stadium	2	5.6	Mumbai Indians	Royal Challengers Bangalore	"Q de Kock,RG Sharma"	"Mohammed Siraj,NA Saini,YS Chahal,UT Yadav"	67
1322	Punjab Cricket Association IS Bindra Stadium	1	5.6	Kings XI Punjab	Rajasthan Royals	"MA Agarwal,CH Gayle,KL Rahul"	"DS Kulkarni,JC Archer,JD Unadkat"	39
1323	Punjab Cricket Association IS Bindra Stadium	2	5.6	Rajasthan Royals	Kings XI Punjab	"RA Tripathi,SV Samson,JC Buttler"	"Mujeeb Ur Rahman,Arshdeep Singh"	54
1324	Rajiv Gandhi International Stadium	1	5.6	Chennai Super Kings	Sunrisers Hyderabad	"SR Watson,F du Plessis"	"KK Ahmed,Sandeep Sharma,B Kumar"	41
1325	Rajiv Gandhi International Stadium	2	5.6	Sunrisers Hyderabad	Chennai Super Kings	"JM Bairstow,KS Williamson,DA Warner"	"Imran Tahir,DL Chahar,SN Thakur"	68
1326	Wankhede Stadium	1	5.6	Mumbai Indians	Chennai Super Kings	"E Lewis,SA Yadav,RG Sharma,Ishan Kishan"	"SR Watson,DL Chahar"	39
1327	Wankhede Stadium	2	5.6	Chennai Super Kings	Mumbai Indians	"SK Raina,SR Watson,AT Rayudu"	"JJ Bumrah,Mustafizur Rahman,MJ McClenaghan,HH Pandya"	42
1328	Punjab Cricket Association IS Bindra Stadium	1	5.7	Delhi Daredevils	Kings XI Punjab	"C Munro,SS Iyer,G Gambhir"	"R Ashwin,AR Patel,MM Sharma,AJ Tye,Mujeeb Ur Rahman"	45
1329	Punjab Cricket Association IS Bindra Stadium	2	5.6	Kings XI Punjab	Delhi Daredevils	"MA Agarwal,Yuvraj Singh,KL Rahul,KK Nair"	"TA Boult,CH Morris,Mohammed Shami,A Mishra"	73
133	Kingsmead	2	5.6	Kings XI Punjab	Royal Challengers Bangalore	"K Goel,RS Bopara"	"Pankaj Singh,P Kumar,R Vinay Kumar,JH Kallis"	44
1330	Eden Gardens	1	5.6	Royal Challengers Bangalore	Kolkata Knight Riders	"BB McCullum,Q de Kock,V Kohli"	"R Vinay Kumar,Kuldeep Yadav,PP Chawla"	52
1331	Eden Gardens	2	5.7	Kolkata Knight Riders	Royal Challengers Bangalore	"N Rana,CA Lynn,RV Uthappa,SP Narine"	"CR Woakes,YS Chahal,Washington Sundar,UT Yadav"	68
1332	Rajiv Gandhi International Stadium	1	5.6	Rajasthan Royals	Sunrisers Hyderabad	"DJM Short,AM Rahane,SV Samson"	"Shakib Al Hasan,B Stanlake,B Kumar"	48
1333	Rajiv Gandhi International Stadium	2	5.7	Sunrisers Hyderabad	Rajasthan Royals	"KS Williamson,S Dhawan,WP Saha"	"K Gowtham,DS Kulkarni,B Laughlin,JD Unadkat"	57
1334	MA Chidambaram Stadium	1	5.6	Kolkata Knight Riders	Chennai Super Kings	"N Rana,CA Lynn,RV Uthappa,SP Narine"	"RA Jadeja,DL Chahar,Harbhajan Singh,Imran Tahir,SR Watson"	64
1335	MA Chidambaram Stadium	2	5.6	Chennai Super Kings	Kolkata Knight Riders	"SK Raina,SR Watson,AT Rayudu"	"AD Russell,R Vinay Kumar,TK Curran,PP Chawla"	75
1336	Sawai Mansingh Stadium	1	5.6	Rajasthan Royals	Delhi Daredevils	"DJM Short,BA Stokes,AM Rahane,SV Samson"	"TA Boult,CH Morris,S Nadeem"	51
1337	Sawai Mansingh Stadium	2	5.6	Delhi Daredevils	Rajasthan Royals	"V Shankar,RR Pant,CH Morris,GJ Maxwell"	"K Gowtham,DS Kulkarni,B Laughlin,JD Unadkat"	60
1338	Rajiv Gandhi International Stadium	1	5.6	Mumbai Indians	Sunrisers Hyderabad	"E Lewis,RG Sharma,Ishan Kishan"	"Rashid Khan,S Kaul,Sandeep Sharma,B Stanlake"	54
1339	Rajiv Gandhi International Stadium	2	5.6	Sunrisers Hyderabad	Mumbai Indians	"S Dhawan,WP Saha"	"PJ Sangwan,JJ Bumrah,KH Pandya,BCJ Cutting"	56
134	Kingsmead	1	5.7	Deccan Chargers	Mumbai Indians	"HH Gibbs,AC Gilchrist"	"Harbhajan Singh,Z Khan,DJ Bravo,SL Malinga"	55
1340	M Chinnaswamy Stadium	1	5.6	Kings XI Punjab	Royal Challengers Bangalore	"AJ Finch,MA Agarwal,Yuvraj Singh,KK Nair,KL Rahul"	"CR Woakes,UT Yadav,K Khejroliya"	50
1341	M Chinnaswamy Stadium	2	5.6	Royal Challengers Bangalore	Kings XI Punjab	"BB McCullum,Q de Kock,V Kohli,AB de Villiers"	"Mujeeb Ur Rahman,AR Patel,R Ashwin,AJ Tye"	41
1342	Wankhede Stadium	1	5.6	Mumbai Indians	Delhi Daredevils	"E Lewis,SA Yadav"	"TA Boult,Mohammed Shami,DT Christian,S Nadeem"	84
1343	Wankhede Stadium	2	5.6	Delhi Daredevils	Mumbai Indians	"JJ Roy,RR Pant,G Gambhir"	"A Dananjaya,JJ Bumrah,Mustafizur Rahman,HH Pandya"	53
1344	Eden Gardens	1	5.6	Kolkata Knight Riders	Sunrisers Hyderabad	"N Rana,CA Lynn,RV Uthappa"	"Rashid Khan,S Kaul,B Stanlake,B Kumar"	49
1345	Eden Gardens	2	5.7	Sunrisers Hyderabad	Kolkata Knight Riders	"MK Pandey,KS Williamson,S Dhawan,WP Saha"	"MG Johnson,AD Russell,PP Chawla,SP Narine"	46
1346	M Chinnaswamy Stadium	1	5.7	Rajasthan Royals	Royal Challengers Bangalore	"DJM Short,AM Rahane,SV Samson"	"CR Woakes,YS Chahal,Washington Sundar,UT Yadav"	52
1347	M Chinnaswamy Stadium	2	5.7	Royal Challengers Bangalore	Rajasthan Royals	"BB McCullum,Q de Kock,V Kohli"	"K Gowtham,DS Kulkarni,BA Stokes,JD Unadkat"	64
1348	Punjab Cricket Association IS Bindra Stadium	1	5.7	Kings XI Punjab	Chennai Super Kings	"CH Gayle,KL Rahul"	"Harbhajan Singh,DL Chahar,SN Thakur"	75
1349	Punjab Cricket Association IS Bindra Stadium	2	5.6	Chennai Super Kings	Kings XI Punjab	"M Vijay,SR Watson,AT Rayudu,SW Billings"	"Mujeeb Ur Rahman,BB Sran,MM Sharma,AJ Tye"	53
135	Kingsmead	2	5.8	Mumbai Indians	Deccan Chargers	"ST Jayasuriya,JP Duminy,SR Tendulkar"	"RP Singh,Harmeet Singh,FH Edwards"	50
1350	Eden Gardens	1	5.6	Kolkata Knight Riders	Delhi Daredevils	"CA Lynn,RV Uthappa,SP Narine"	"TA Boult,CH Morris,S Nadeem"	50
1351	Eden Gardens	2	5.6	Delhi Daredevils	Kolkata Knight Riders	"JJ Roy,RR Pant,SS Iyer,G Gambhir,GJ Maxwell"	"AD Russell,SP Narine,Shivam Mavi,PP Chawla"	56
1352	Wankhede Stadium	1	5.6	Mumbai Indians	Royal Challengers Bangalore	"RG Sharma,E Lewis,SA Yadav,Ishan Kishan"	"CR Woakes,Mohammed Siraj,Washington Sundar,UT Yadav"	60
1353	Wankhede Stadium	2	5.6	Royal Challengers Bangalore	Mumbai Indians	"Mandeep Singh,Q de Kock,V Kohli,AB de Villiers"	"JJ Bumrah,Mustafizur Rahman,KH Pandya,MJ McClenaghan"	55
1354	Sawai Mansingh Stadium	1	5.6	Rajasthan Royals	Kolkata Knight Riders	"DJM Short,AM Rahane"	"Shivam Mavi,SP Narine,Kuldeep Yadav,PP Chawla"	48
1355	Sawai Mansingh Stadium	2	5.6	Kolkata Knight Riders	Rajasthan Royals	"CA Lynn,RV Uthappa,SP Narine"	"K Gowtham,DS Kulkarni,B Laughlin,JD Unadkat"	53
1356	Punjab Cricket Association IS Bindra Stadium	1	5.6	Kings XI Punjab	Sunrisers Hyderabad	"CH Gayle,KL Rahul"	"Rashid Khan,S Kaul,CJ Jordan,B Kumar"	49
1357	Punjab Cricket Association IS Bindra Stadium	2	5.6	Sunrisers Hyderabad	Kings XI Punjab	"MK Pandey,KS Williamson,S Dhawan,WP Saha,YK Pathan"	"BB Sran,MM Sharma,AJ Tye"	40
1358	Maharashtra Cricket Association Stadium	1	5.6	Chennai Super Kings	Rajasthan Royals	"SK Raina,SR Watson,AT Rayudu"	"BA Stokes,K Gowtham,JD Unadkat,STR Binny,B Laughlin"	69
1359	Maharashtra Cricket Association Stadium	2	5.6	Rajasthan Royals	Chennai Super Kings	"BA Stokes,H Klaasen,JC Buttler,AM Rahane,SV Samson"	"SR Watson,DL Chahar,SN Thakur"	35
136	St George's Park	1	5.7	Royal Challengers Bangalore	Delhi Daredevils	"KP Pietersen,RV Uthappa,LRPL Taylor,JH Kallis"	"PJ Sangwan,DP Nannes,A Nehra"	45
1360	Eden Gardens	1	5.7	Kolkata Knight Riders	Kings XI Punjab	"CA Lynn,RV Uthappa,SP Narine"	"Mujeeb Ur Rahman,AS Rajpoot,BB Sran,AJ Tye"	50
1361	Eden Gardens	2	5.6	Kings XI Punjab	Kolkata Knight Riders	"CH Gayle,KL Rahul"	"SP Narine,Shivam Mavi,N Rana,AD Russell,PP Chawla"	73
1362	M Chinnaswamy Stadium	1	5.6	Delhi Daredevils	Royal Challengers Bangalore	"JJ Roy,RR Pant,SS Iyer,G Gambhir"	"CR Woakes,YS Chahal,UT Yadav"	28
1363	M Chinnaswamy Stadium	2	5.6	Royal Challengers Bangalore	Delhi Daredevils	"Q de Kock,V Kohli,AB de Villiers,M Vohra"	"TA Boult,CH Morris,S Nadeem,GJ Maxwell"	43
1364	Rajiv Gandhi International Stadium	1	5.6	Chennai Super Kings	Sunrisers Hyderabad	"SK Raina,SR Watson,F du Plessis"	"S Kaul,Shakib Al Hasan,B Stanlake,B Kumar"	27
1365	Rajiv Gandhi International Stadium	2	5.6	Sunrisers Hyderabad	Chennai Super Kings	"MK Pandey,Shakib Al Hasan,KS Williamson,RK Bhui,DJ Hooda"	"SR Watson,DL Chahar,SN Thakur"	40
1366	Sawai Mansingh Stadium	1	5.6	Mumbai Indians	Rajasthan Royals	"E Lewis,SA Yadav,Ishan Kishan"	"K Gowtham,DS Kulkarni,JC Archer,JD Unadkat"	43
1367	Sawai Mansingh Stadium	2	5.6	Rajasthan Royals	Mumbai Indians	"RA Tripathi,BA Stokes,AM Rahane,SV Samson"	"JJ Bumrah,Mustafizur Rahman,MJ McClenaghan,KH Pandya"	43
1368	Arun Jaitley Stadium	1	5.6	Kings XI Punjab	Delhi Daredevils	"AJ Finch,MA Agarwal,KL Rahul,KK Nair"	"TA Boult,LE Plunkett,Avesh Khan"	51
1369	Arun Jaitley Stadium	2	5.6	Delhi Daredevils	Kings XI Punjab	"RR Pant,SS Iyer,G Gambhir,PP Shaw,GJ Maxwell"	"AS Rajpoot,BB Sran,AJ Tye"	48
137	St George's Park	2	5.6	Delhi Daredevils	Royal Challengers Bangalore	"TM Dilshan,AB de Villiers,V Sehwag,G Gambhir"	"Pankaj Singh,R Vinay Kumar,JH Kallis"	43
1370	Wankhede Stadium	1	5.6	Sunrisers Hyderabad	Mumbai Indians	"MK Pandey,Shakib Al Hasan,KS Williamson,S Dhawan,WP Saha,YK Pathan"	"JJ Bumrah,MJ McClenaghan,HH Pandya"	51
1371	Wankhede Stadium	2	5.6	Mumbai Indians	Sunrisers Hyderabad	"E Lewis,Ishan Kishan,SA Yadav,KH Pandya,RG Sharma"	"Sandeep Sharma,Mohammad Nabi,Shakib Al Hasan"	22
1372	M Chinnaswamy Stadium	1	5.6	Royal Challengers Bangalore	Chennai Super Kings	"Q de Kock,V Kohli,AB de Villiers"	"Harbhajan Singh,DL Chahar,SN Thakur"	52
1373	M Chinnaswamy Stadium	2	5.6	Chennai Super Kings	Royal Challengers Bangalore	"SK Raina,SW Billings,SR Watson,AT Rayudu"	"Mohammed Siraj,P Negi,Washington Sundar,UT Yadav"	55
1374	Rajiv Gandhi International Stadium	1	5.7	Sunrisers Hyderabad	Kings XI Punjab	"MK Pandey,Shakib Al Hasan,KS Williamson,S Dhawan,WP Saha"	"AS Rajpoot,BB Sran"	37
1375	Rajiv Gandhi International Stadium	2	5.6	Kings XI Punjab	Sunrisers Hyderabad	"CH Gayle,KL Rahul"	"S Kaul,Sandeep Sharma,Mohammad Nabi"	44
1376	Arun Jaitley Stadium	1	5.6	Delhi Daredevils	Kolkata Knight Riders	"PP Shaw,C Munro"	"MG Johnson,Shivam Mavi,PP Chawla,Kuldeep Yadav,SP Narine"	57
1377	Arun Jaitley Stadium	2	5.6	Kolkata Knight Riders	Delhi Daredevils	"KD Karthik,Shubman Gill,CA Lynn,RV Uthappa,N Rana,SP Narine"	"TA Boult,LE Plunkett,Avesh Khan,GJ Maxwell"	51
1378	Maharashtra Cricket Association Stadium	1	5.6	Chennai Super Kings	Mumbai Indians	"SK Raina,SR Watson,AT Rayudu"	"JJ Bumrah,MJ McClenaghan,KH Pandya,HH Pandya"	51
1379	Maharashtra Cricket Association Stadium	2	5.6	Mumbai Indians	Chennai Super Kings	"E Lewis,SA Yadav"	"Harbhajan Singh,SR Watson,DL Chahar,SN Thakur"	50
138	Newlands	1	5.9	Kings XI Punjab	Rajasthan Royals	"Yuvraj Singh,RS Bopara,KC Sangakkara"	"MM Patel,Kamran Khan,AD Mascarenhas,YK Pathan"	38
1380	Sawai Mansingh Stadium	1	5.6	Sunrisers Hyderabad	Rajasthan Royals	"AD Hales,KS Williamson,S Dhawan"	"K Gowtham,DS Kulkarni,JC Archer,JD Unadkat"	39
1381	Sawai Mansingh Stadium	2	5.6	Rajasthan Royals	Sunrisers Hyderabad	"RA Tripathi,AM Rahane,SV Samson"	"S Kaul,Sandeep Sharma,Shakib Al Hasan,Basil Thampi"	43
1382	M Chinnaswamy Stadium	1	5.6	Royal Challengers Bangalore	Kolkata Knight Riders	"BB McCullum,Q de Kock"	"MG Johnson,SP Narine,Shivam Mavi,PP Chawla"	40
1383	M Chinnaswamy Stadium	2	5.6	Kolkata Knight Riders	Royal Challengers Bangalore	"CA Lynn,SP Narine"	"TG Southee,YS Chahal,UT Yadav"	51
1384	Maharashtra Cricket Association Stadium	1	5.6	Chennai Super Kings	Delhi Daredevils	"SR Watson,F du Plessis"	"TA Boult,LE Plunkett,R Tewatia,Avesh Khan"	56
1385	Maharashtra Cricket Association Stadium	2	5.6	Delhi Daredevils	Chennai Super Kings	"PP Shaw,RR Pant,C Munro,SS Iyer"	"SR Watson,L Ngidi,KM Asif"	59
1386	M Chinnaswamy Stadium	1	5.6	Royal Challengers Bangalore	Mumbai Indians	"Q de Kock,M Vohra"	"JP Duminy,JJ Bumrah,MJ McClenaghan,KH Pandya"	43
1387	M Chinnaswamy Stadium	2	5.6	Mumbai Indians	Royal Challengers Bangalore	"JP Duminy,KA Pollard,Ishan Kishan,SA Yadav,RG Sharma"	"Mohammed Siraj,TG Southee,UT Yadav"	40
1388	Arun Jaitley Stadium	1	5.6	Delhi Daredevils	Rajasthan Royals	"PP Shaw,C Munro,SS Iyer"	"S Gopal,DS Kulkarni,K Gowtham,JC Archer,JD Unadkat"	62
1389	Arun Jaitley Stadium	2	5.6	Rajasthan Royals	Delhi Daredevils	"DJM Short,JC Buttler"	"LE Plunkett,Avesh Khan,A Mishra,TA Boult,S Nadeem"	79
139	Newlands	2	5.6	Rajasthan Royals	Kings XI Punjab	"SA Asnodkar,RA Jadeja,AD Mascarenhas,RJ Quiney,GC Smith,YK Pathan"	"IK Pathan,YA Abdulla,RR Powar,VRV Singh"	32
1390	Eden Gardens	1	5.6	Chennai Super Kings	Kolkata Knight Riders	"SK Raina,SR Watson,F du Plessis"	"MG Johnson,SP Narine,Shivam Mavi,PP Chawla"	57
1391	Eden Gardens	2	5.6	Kolkata Knight Riders	Chennai Super Kings	"Shubman Gill,CA Lynn,RV Uthappa,SP Narine"	"SR Watson,L Ngidi,KM Asif"	56
1392	Holkar Cricket Stadium	1	5.7	Kings XI Punjab	Mumbai Indians	"CH Gayle,KL Rahul"	"JJ Bumrah,MJ McClenaghan,HH Pandya"	49
1393	Holkar Cricket Stadium	2	5.7	Mumbai Indians	Kings XI Punjab	"E Lewis,SA Yadav,Ishan Kishan"	"Mujeeb Ur Rahman,AS Rajpoot,R Ashwin,AJ Tye"	39
1394	Maharashtra Cricket Association Stadium	1	5.6	Royal Challengers Bangalore	Chennai Super Kings	"PA Patel,BB McCullum,V Kohli"	"DJ Willey,L Ngidi,SN Thakur"	47
1395	Maharashtra Cricket Association Stadium	2	5.6	Chennai Super Kings	Royal Challengers Bangalore	"SK Raina,SR Watson,AT Rayudu"	"TG Southee,YS Chahal,UT Yadav"	42
1396	Rajiv Gandhi International Stadium	1	5.6	Delhi Daredevils	Sunrisers Hyderabad	"PP Shaw,SS Iyer,GJ Maxwell"	"S Kaul,Sandeep Sharma,Shakib Al Hasan,B Kumar"	60
1397	Rajiv Gandhi International Stadium	2	5.7	Sunrisers Hyderabad	Delhi Daredevils	"AD Hales,S Dhawan"	"TA Boult,LE Plunkett,Avesh Khan,GJ Maxwell"	61
1398	Wankhede Stadium	1	5.6	Mumbai Indians	Kolkata Knight Riders	"E Lewis,SA Yadav"	"M Prasidh Krishna,MG Johnson,SP Narine,N Rana,PP Chawla"	56
1399	Wankhede Stadium	2	5.7	Kolkata Knight Riders	Mumbai Indians	"N Rana,Shubman Gill,CA Lynn,RV Uthappa"	"JJ Bumrah,MJ McClenaghan,HH Pandya"	47
14	MA Chidambaram Stadium	1	5.8	Chennai Super Kings	Mumbai Indians	"PA Patel,SK Raina,MEK Hussey,ML Hayden"	"DS Kulkarni,SM Pollock,A Nehra"	53
140	Kingsmead	1	5.6	Chennai Super Kings	Deccan Chargers	"PA Patel,SK Raina,ML Hayden"	"RP Singh,DR Smith,FH Edwards,Y Venugopal Rao"	62
1400	Holkar Cricket Stadium	1	5.6	Rajasthan Royals	Kings XI Punjab	"SV Samson,DJM Short,AM Rahane,JC Buttler"	"Mujeeb Ur Rahman,AS Rajpoot,R Ashwin,AR Patel"	45
1401	Holkar Cricket Stadium	2	5.6	Kings XI Punjab	Rajasthan Royals	"MA Agarwal,CH Gayle,KL Rahul,KK Nair"	"K Gowtham,JC Archer,BA Stokes,JD Unadkat"	34
1402	Rajiv Gandhi International Stadium	1	5.6	Sunrisers Hyderabad	Royal Challengers Bangalore	"AD Hales,KS Williamson,S Dhawan"	"Mohammed Siraj,TG Southee,UT Yadav,MM Ali"	38
1403	Rajiv Gandhi International Stadium	2	5.6	Royal Challengers Bangalore	Sunrisers Hyderabad	"PA Patel,V Kohli,M Vohra"	"S Kaul,Sandeep Sharma,Shakib Al Hasan,B Kumar"	55
1404	Sawai Mansingh Stadium	1	5.6	Rajasthan Royals	Kings XI Punjab	"K Gowtham,AM Rahane,JC Buttler"	"AR Patel,MP Stoinis,MM Sharma,AJ Tye"	63
1405	Sawai Mansingh Stadium	2	5.6	Kings XI Punjab	Rajasthan Royals	"R Ashwin,KK Nair,KL Rahul,AD Nath,CH Gayle"	"K Gowtham,JC Archer,BA Stokes,JD Unadkat"	33
1406	Eden Gardens	1	5.6	Mumbai Indians	Kolkata Knight Riders	"E Lewis,SA Yadav,RG Sharma"	"M Prasidh Krishna,SP Narine,AD Russell,PP Chawla,TK Curran"	47
1407	Eden Gardens	2	5.6	Kolkata Knight Riders	Mumbai Indians	"N Rana,CA Lynn,RV Uthappa,SP Narine"	"JJ Bumrah,MJ McClenaghan,KH Pandya,HH Pandya"	47
1408	Arun Jaitley Stadium	1	5.6	Delhi Daredevils	Sunrisers Hyderabad	"JJ Roy,PP Shaw,RR Pant,SS Iyer"	"S Kaul,Sandeep Sharma,Shakib Al Hasan,B Kumar"	38
1409	Arun Jaitley Stadium	2	5.6	Sunrisers Hyderabad	Delhi Daredevils	"AD Hales,KS Williamson,S Dhawan"	"TA Boult,LE Plunkett,S Nadeem,HV Patel"	51
141	Kingsmead	2	5.6	Deccan Chargers	Chennai Super Kings	"VVS Laxman,HH Gibbs,AC Gilchrist"	"JA Morkel,SK Raina,M Muralitharan,MS Gony,L Balaji"	69
1410	Sawai Mansingh Stadium	1	5.7	Chennai Super Kings	Rajasthan Royals	"SK Raina,SR Watson,AT Rayudu"	"BA Stokes,Ankit Sharma,K Gowtham,JC Archer,JD Unadkat"	55
1411	Sawai Mansingh Stadium	2	5.7	Rajasthan Royals	Chennai Super Kings	"SV Samson,BA Stokes,AM Rahane,JC Buttler"	"DJ Willey,RA Jadeja,Harbhajan Singh,SN Thakur"	57
1412	Holkar Cricket Stadium	1	5.6	Kolkata Knight Riders	Kings XI Punjab	"CA Lynn,RV Uthappa,SP Narine"	"R Ashwin,MM Sharma,AJ Tye,Mujeeb Ur Rahman,BB Sran"	59
1413	Holkar Cricket Stadium	2	5.6	Kings XI Punjab	Kolkata Knight Riders	"MA Agarwal,CH Gayle,KL Rahul"	"M Prasidh Krishna,JPR Scantlebury-Searles,AD Russell,SP Narine"	58
1414	Arun Jaitley Stadium	1	5.6	Delhi Daredevils	Royal Challengers Bangalore	"JJ Roy,PP Shaw,RR Pant,SS Iyer"	"TG Southee,YS Chahal,UT Yadav"	44
1415	Arun Jaitley Stadium	2	5.6	Royal Challengers Bangalore	Delhi Daredevils	"PA Patel,V Kohli,AB de Villiers,MM Ali"	"TA Boult,CJ Dala,S Lamichhane,HV Patel"	58
1416	Maharashtra Cricket Association Stadium	1	5.7	Sunrisers Hyderabad	Chennai Super Kings	"AD Hales,KS Williamson,S Dhawan"	"DJ Willey,DL Chahar,SN Thakur"	29
1417	Maharashtra Cricket Association Stadium	2	5.6	Chennai Super Kings	Sunrisers Hyderabad	"SR Watson,AT Rayudu"	"Rashid Khan,Sandeep Sharma,Shakib Al Hasan,B Kumar"	53
1418	Wankhede Stadium	1	5.6	Mumbai Indians	Rajasthan Royals	"E Lewis,SA Yadav"	"K Gowtham,DS Kulkarni,JC Archer,BA Stokes"	51
1419	Wankhede Stadium	2	5.6	Rajasthan Royals	Mumbai Indians	"DJM Short,AM Rahane,JC Buttler"	"JJ Bumrah,MJ McClenaghan,KH Pandya,HH Pandya"	51
142	St George's Park	1	5.7	Mumbai Indians	Kolkata Knight Riders	"ST Jayasuriya,SR Tendulkar"	"AB Dinda,SC Ganguly,I Sharma"	61
1420	Holkar Cricket Stadium	1	5.6	Kings XI Punjab	Royal Challengers Bangalore	"AJ Finch,MP Stoinis,KK Nair,KL Rahul,CH Gayle"	"Mohammed Siraj,TG Southee,UT Yadav"	47
1421	Holkar Cricket Stadium	2	5.6	Royal Challengers Bangalore	Kings XI Punjab	"PA Patel,V Kohli"	"AS Rajpoot,R Ashwin,MM Sharma,AJ Tye"	66
1422	Eden Gardens	1	5.6	Rajasthan Royals	Kolkata Knight Riders	"RA Tripathi,AM Rahane,JC Buttler"	"M Prasidh Krishna,AD Russell,Shivam Mavi,SP Narine"	68
1423	Eden Gardens	2	5.7	Kolkata Knight Riders	Rajasthan Royals	"N Rana,CA Lynn,RV Uthappa,SP Narine"	"K Gowtham,JC Archer,BA Stokes"	51
1424	Wankhede Stadium	1	5.6	Mumbai Indians	Kings XI Punjab	"E Lewis,Ishan Kishan,SA Yadav,KH Pandya,RG Sharma"	"AS Rajpoot,MM Sharma,AJ Tye"	60
1425	Wankhede Stadium	2	5.6	Kings XI Punjab	Mumbai Indians	"AJ Finch,CH Gayle,KL Rahul"	"JJ Bumrah,MJ McClenaghan,KH Pandya,HH Pandya"	57
1426	M Chinnaswamy Stadium	1	5.6	Royal Challengers Bangalore	Sunrisers Hyderabad	"PA Patel,V Kohli,AB de Villiers,MM Ali"	"Rashid Khan,S Kaul,Sandeep Sharma,Shakib Al Hasan"	44
1427	M Chinnaswamy Stadium	2	5.6	Sunrisers Hyderabad	Royal Challengers Bangalore	"AD Hales,KS Williamson,S Dhawan"	"Mohammed Siraj,TG Southee,YS Chahal,UT Yadav"	56
1428	Arun Jaitley Stadium	1	5.6	Delhi Daredevils	Chennai Super Kings	"PP Shaw,RR Pant,SS Iyer"	"RA Jadeja,L Ngidi,DL Chahar,SN Thakur"	39
1429	Arun Jaitley Stadium	2	5.6	Chennai Super Kings	Delhi Daredevils	"SR Watson,AT Rayudu"	"TA Boult,S Lamichhane,Avesh Khan,HV Patel"	44
143	St George's Park	2	5.6	Kolkata Knight Riders	Mumbai Indians	"CH Gayle,BB McCullum,SC Ganguly,BJ Hodge"	"Harbhajan Singh,Z Khan,DJ Bravo,SL Malinga"	47
1430	Sawai Mansingh Stadium	1	5.6	Rajasthan Royals	Royal Challengers Bangalore	"JC Archer,RA Tripathi,AM Rahane"	"TG Southee,YS Chahal,UT Yadav,MM Ali"	45
1431	Sawai Mansingh Stadium	2	5.6	Royal Challengers Bangalore	Rajasthan Royals	"PA Patel,V Kohli,AB de Villiers"	"K Gowtham,JC Archer,JD Unadkat,B Laughlin"	55
1432	Rajiv Gandhi International Stadium	1	5.7	Sunrisers Hyderabad	Kolkata Knight Riders	"SP Goswami,S Dhawan"	"M Prasidh Krishna,SP Narine,N Rana,AD Russell,PP Chawla"	60
1433	Rajiv Gandhi International Stadium	2	5.6	Kolkata Knight Riders	Sunrisers Hyderabad	"CA Lynn,RV Uthappa,SP Narine"	"S Kaul,Sandeep Sharma,Shakib Al Hasan,B Kumar"	66
1434	Arun Jaitley Stadium	1	5.6	Delhi Daredevils	Mumbai Indians	"PP Shaw,RR Pant,SS Iyer,GJ Maxwell"	"JJ Bumrah,Mustafizur Rahman,KH Pandya,HH Pandya"	46
1435	Arun Jaitley Stadium	2	5.8	Mumbai Indians	Delhi Daredevils	"E Lewis,SA Yadav,Ishan Kishan"	"LE Plunkett,S Lamichhane,GJ Maxwell,TA Boult,HV Patel"	57
1436	Maharashtra Cricket Association Stadium	1	5.6	Kings XI Punjab	Chennai Super Kings	"AJ Finch,DA Miller,KL Rahul,CH Gayle,MK Tiwary"	"L Ngidi,DL Chahar"	29
1437	Maharashtra Cricket Association Stadium	2	5.6	Chennai Super Kings	Kings XI Punjab	"SK Raina,SW Billings,AT Rayudu,Harbhajan Singh,F du Plessis"	"AS Rajpoot,MM Sharma,AJ Tye"	33
1438	Wankhede Stadium	1	5.6	Sunrisers Hyderabad	Chennai Super Kings	"MK Pandey,Shakib Al Hasan,KS Williamson,S Dhawan,SP Goswami"	"L Ngidi,DL Chahar,SN Thakur"	47
1439	Wankhede Stadium	2	5.6	Chennai Super Kings	Sunrisers Hyderabad	"SK Raina,AT Rayudu,MS Dhoni,F du Plessis,SR Watson"	"S Kaul,Sandeep Sharma,B Kumar"	33
144	SuperSport Park	1	5.6	Delhi Daredevils	Rajasthan Royals	"TM Dilshan,AB de Villiers,V Sehwag,G Gambhir"	"MM Patel,Kamran Khan,AD Mascarenhas"	42
1440	Eden Gardens	1	5.6	Kolkata Knight Riders	Rajasthan Royals	"KD Karthik,CA Lynn,RV Uthappa,N Rana,SP Narine"	"K Gowtham,JC Archer,JD Unadkat"	46
1441	Eden Gardens	2	5.6	Rajasthan Royals	Kolkata Knight Riders	"RA Tripathi,AM Rahane,SV Samson"	"M Prasidh Krishna,AD Russell,SP Narine,PP Chawla"	51
1442	Eden Gardens	1	5.6	Sunrisers Hyderabad	Kolkata Knight Riders	"S Dhawan,WP Saha"	"M Prasidh Krishna,AD Russell,Shivam Mavi,SP Narine"	45
1443	Eden Gardens	2	5.6	Kolkata Knight Riders	Sunrisers Hyderabad	"N Rana,CA Lynn,SP Narine"	"S Kaul,KK Ahmed,B Kumar"	67
1444	Wankhede Stadium	1	5.7	Sunrisers Hyderabad	Chennai Super Kings	"S Dhawan,KS Williamson,SP Goswami"	"L Ngidi,DL Chahar,SN Thakur"	42
